프로그램명,신청대상,프로그램 목표,프로그램 주요내용,프로그램 분류,학부,학적,학년,창의·혁신역량,자기주도적 학습역량,지식·정보·기술 활용역량,의사소통 역량,대인관계역량,세계시민역량,프로그램 목표_키워드,프로그램 주요내용_키워드
키워드 테스트,-,키워드테스트,키워드 기능을 위한 테스트 모집 ,-,단과대학 ,전체,전체,50,0,0,25,25,0,키워드테스트,"모집, 기능을, 키워드, 테스트, 위한"
인사담당자를 사로잡는 인싸 자소서 작성법 특강,학부KFL학부,인사담당자가 좋아하는 자기소개서 핵심요소 중심의 자소서 작성법 강의를 통하여 구직기술 향상과 하반기 채용 대비,"합격 자소서와 내 자소서는 어디에서 차이가 날까
자소서 작성 이론대로 썼는데 무엇이 문제일까
내가 놓치고 있는 인사담당자가 좋아하는 핵심요소는 무엇일까
고민하지 말고 인싸 자소서 작성법 특강으로 해결하러 고고
줌링크  httpsus06webzoomusj82884540377pwdG9ILOoENtaNrTlC8q5bRNm7FYTe4hg1
회의 ID 828 8454 0377
암호 634663
       ",-,단과대학 ,전체,전체,0,25,50,25,0,0,"작성법, 구직기술, 통하여, 자기소개서, 핵심요소, 인사담당자가, 강의를, 중심의, 하반기, 자소서","자소서와, 작성, 고민하지, 인사담당자가, 자소서, 자소서는, 핵심요소는, 특강으로, 인싸, 작성법"
특교원 포르투갈어 CFL 온라인 현장실습인턴십 프로그램,-,"대학에서 쌓은 전공 역량을 바탕으로 취업 전 현장을 직접 경험하고, 현장적응력 및 실무능력을 겸비한 우수인재양성 프로그램으로 취업기회 확대를 목적으로 함","CFL 온라인 현장실습인턴십 파견생 선발 안내
한국외국어대학교 포르투갈어과에서는 2023학년도 2학기 특수외국어교육진흥사업의 일환으로 전공 관련 현장실습을 희망하는 포르투갈어 관련 전공생 및 이중부전공생을 대상으로 온라인 현장실습인턴십 프로그램을 실시하오니 관심 있는 학생들의 많은 지원 바랍니다
   아    래  
 1 신청 기간  20230927수 1900  1003화 1700
2 파견 기간  2023100420231205총10주 주5일 근무시간 일일 2시간
3 지원 자격  한국외국어대학교 포르투갈어과 재학생 및 이중부전공생
 2023학년도 2학기 기준 68학기 재학생
 총 평점평균 30 이상인 자
4 선발 인원  기관별 각 2명
5 파견 기관  사단법인 한국 브라질 소사이어티wwwkobraskr 서울특별시 송파구 신천동 한신잠실코아 오피스텔동 415호 소재한중남미 협회wwwlatinamericaorkr 서울특별시 송파구 가락본동 오금로36길 64 문종빌딩 2층
6 지 원 금   1인당 100만원  시급 1만원 X 하루 2시간 X 주 5일 X 10주
7 파견 업무  브라질 및 라틴아메리카에 관한 기사 리서치 번역 및 관련 행사 지원
8 학점인정 여부 해당사항 없음
9 신청방법  첨부서류와 함께 지원신청서 작성 및 서명 후 HUFSAbility 사이트를 통해 스캔본 제출
  별첨 1 온라인 현장실습인턴십 프로그램 지원신청서
   2023 9
한국외국어대학교 포르투갈어과
 ",-,단과대학 ,재학 ,3학년 4학년 ,25,25,0,0,50,0,"경험하고, 현장적응력, 현장을, 목적으로, 프로그램으로, 확대를, 실무능력을, 겸비한, 전공, 바탕으로","평점평균, 부전공생을, cfl, 부전공생, 포르투갈어과에서는, 현장실습을, 전공생, 오피스텔동, 지원신청서, 현장실습"
UN등 국제기구 현직자 초청 취업 특강국제적십자위원회,-,국제기구 진출에 필요한 취업정보 제공,"국제적십자위원회 현직자를 초청하여 취업 특강을 진행합니다
국제기구 취업을 희망하는 재학생의 많은 참석 바랍니다 
 1 교육내용  국제기구취업 진로고민 인생고민
 멘토프로필 httpswwwitdaanetmentors92048  
 2 일정  10월 6일금 19시  21시 
3 교육방법  온라인 ZOOM으로 진행
4 신청  훕스어빌리티
5 문의  진로취업지원센터글로벌 0313304042 head312hufsackr
  ",-,단과대학 ,전체,전체,50,0,0,0,50,0,"국제기구, 진출에, 제공, 필요한, 취업정보","재학생의, 인생고민, 초청하여, 일정, 교육방법, 신청, 멘토프로필, 진행합니다, 현직자를, 진행"
UN등 국제기구 현직자 초청 취업 특강UN사무국,-,국제기구 진출에 필요한 취업정보 제공,"UN 사무국 현직자를 초청하여 취업 특강을 진행합니다
국제기구 취업을 희망하는 재학생의 많은 참석 바랍니다 
 1 교육내용  해외취업과 국제기구 취업에 대한 모든것
 멘토 프로필  httpswwwitdaanetmentors309182
  가 국제기구 진출 방법  국제기구 종류 JPO YPP 인턴 준비 방법   
  나 국제기구 진출 실제 사례  1최근 합격자 경력 자격증 등 소개 2대학생 시기별 준비해야하는 경력 자격증 소개 
 2 일정  10월 13일금 19시  21시 
3 교육방법  온라인 ZOOM으로 진행
4 신청  훕스어빌리티로 신청
5 문의  진로취업지원센터글로벌 0313304042 head312hufsackr
  ",-,단과대학 ,전체,전체,50,0,0,0,50,0,"국제기구, 진출에, 제공, 필요한, 취업정보","재학생의, 초청하여, 교육내용, 진행합니다, 신청, 자격증, 일정, 교육방법, 대학생, 진행"
국제기구국제적십자위원회 재직자와의 소그룹 talk 컨설팅,-,"국제기구(국제적십자위원회) 재직자와의 소그룹 talk, 컨설팅","UN등 국제기구 재직 현직자를 초청하여 취업 특강을 진행합니다
국제기구 취업을 희망하는 재학생의 많은 참석 바랍니다 
 1 교육내용  국제기구국제적십자위원회 재직자와 talk 및 컨설팅
  멘토프로필  httpswwwitdaanetmentors92048
2 일정  10월  7일토 19시21시 멘토님이 해외 체류 중인 관계로 부득이 주말에 진행 됨을 양해 바랍니다
3 교육방법  온라인 ZOOM으로 진행
4 신청   모집완료
5 선발인원  5명
6 문의  진로취업지원센터글로벌 0313304042 head312hufsackr
  ",-,단과대학 ,전체,전체,50,0,0,0,50,0,"재직자와의, 소그룹, 국제기구, talk, 컨설팅, 국제적십자위원회","재학생의, 재직자와, 진행합니다, 교육내용, 모집완료, 희망하는, 멘토님이, 국제기구, 부득이, 특강을"
특교원 한포 콘텐츠와 문화번역 II 수강자에 한해 신청 가능 포르투갈어 동화책 읽어주기 다문화 가정 보조교사 활동 신청 안내,-,본 프로그램은 주한 브라질대사관과 연계하여 다문화 가족 미취학 유·아동을 대상으로 ‘포르투갈어 동화책 읽어주기’ 활동 및 교육 서비스 지원 인력을 제공하기 위해 기획되었다.," 포르투갈어 동화책 읽어주기 다문화 가정 보조교사 활동 신청 안내
한국외국어대학교 포르투갈어과에서는 2023학년도 2학기 특수외국어교육진흥사업의 일환으로 주한 브라질 대사관 연계 포르투갈어 동화책 읽어주기 다문화 가정 보조교사 파견 프로그램을 실시하오니 관심 있는 학생들의 많은 참여 바랍니다
   아    래  
 1 신청기간  20230918월 0000  0923금 2359
2 신청대상  한포 콘텐츠와 문화번역 Ⅱ 수강자에 한해 참여 가능
3 선발인원  총 35명
4 활동기관  주한 브라질 대사관서울특별시 종로구 청와대로 73번지 소재
5 지 원 금  시급 4만원 x 1회당 2시간 X 주1회
6 활동일자  총3일 토요일 10301230923 1021 114 1125 122 중 택 23회
7 활동내용  주한 브라질 대사관 연계 다문화 가족 유아동 대상 교육과정 중 포르투갈어 동화책 읽어주기 프로그램 TA 활동
8 학점인정 여부 해당사항 없음
9 신청방법  HUFSAbility를 통해 신청
   2023 9
한국외국어대학교 포르투갈어과
   ",-,전체,재학 ,전체,0,0,0,25,25,50,"브라질대사관과, 동화책, 제공하기, 포르투갈어, 활동, 대상으로, 아동을, 인력을, 다문화, 주한","문화번역, 활동기관, 포르투갈어과, 포르투갈어과에서는, 동화책, 교육과정, 콘텐츠와, 신청대상, 활동내용, 신청기간"
직무특강 미취업졸업생을 위한 직무특강_금융 해외영업마케팅 공기업,학부KFL학부,"금융, 해외영업/마케팅, 공기업 직무 관련 취업 정보 습득"," 한국외대 미취업졸업생을 위한 잡매칭 프로그램에서 직무특강을 진행합니다 
전직 기업 실무자에게 듣는 생생한 직무 이야기로 구성되는 이번 특강은 잡매칭 프로그램 참여자 외에 추가 참여가 가능합니다
선착순 선발 예정이며 합격자에 한하여 줌 URL 전송 예정입니다 
이미지 파일의 큐알코드 접속 후 신청바랍니다 
많은 참여 부탁드립니다 
    ",진로취업프로그램강의형,단과대학 ,전체,전체,0,0,50,25,25,0,"공기업, 마케팅, 금융, 정보, 관련, 습득, 직무, 해외영업, 취업","직무특강을, 생생한, 진행합니다, 선착순, 잡매칭, 신청바랍니다, 부탁드립니다, 참여자, 실무자에게, 전송"
직무특강 금융 해외영업마케팅 공기업,학부KFL학부,"금융, 해외영업/마케팅, 공기업 직무 관련 취업 정보 습득"," 한국외대 미취업졸업생을 위한 잡매칭 프로그램에서 직무특강을 진행합니다 
전직 기업 실무자에게 듣는 생생한 직무 이야기로 구성되는 이번 특강은 잡매칭 프로그램 참여자 외에도 추가 참여가 가능합니다
선착순 선발 예정이며 합격자에 한하여 줌 URL 전송 예정입니다 
 기존 이미지 파일의 큐알코드 신청 방법 외에 
해당 페이지에서도 프로그램 신청이 가능합니다 
기존 신청자 분들은 다시 신청하지 않으셔도 됩니다
 중복 참여도 가능하오니 많은 참여 부탁드립니다 
감사합니다  
     ",진로취업프로그램강의형,단과대학 ,전체,전체,0,0,50,25,25,0,"공기업, 마케팅, 금융, 정보, 관련, 습득, 직무, 해외영업, 취업","신청하지, 신청이, 신청자, 신청, 직무특강을, 잡매칭, 생생한, 선착순, 진행합니다, 실무자에게"
2023 용인기업분석 경진대회 참가팀 모집1인 참가도 가능,-,용인소재 우수 기업을 발굴하고 취업 방향을 다각화 함,"용인지역대학일자리협의회에서 주관하는 용인 기업분석 경진대회에 참가할 우리 대학 대표 팀개인도 참석 가능을 모집합니다
 2팀을 선발하며 선발된 팀원에게는 대회 준비를 위하여 기업분석 방법 프레젠테이션 방법 11 밀착 지도를 제공합니다 
아래 내용을 확인하시어 많이 참가하여 주시기 바랍니다 
 1 일시  10월 5일목 13시 30분
2 장소  명지대학교 용인캠퍼스 
3 참가대상  재학생 및 졸업생 
4 발표내용  용인 소재 기업분석전년도 분석된 기업 명단을 붙임 파일에서 확인 바라며 해당 기업들은 금년도 분석 대상 기업에서 제외 합니다 
5 신청방법  첨부된 지원서 작성 후 이메일head312hufsackr로 제출 911월 오전 10시까지 
6 선발기준  지원서 작성 충실도 내용 구체적인 계획 등을 검토하여 2개 팀을 선발합니다 팀원 없이 단독으로도 참석 가능합니다
7 포상  대상 1팀 100만원 최우수 2팀 50만원 우수 5팀 30만원
  문의  진로취업지원센터글로벌캠퍼스 0313304042 head312hufsackr",-,단과대학 ,재학 휴학 수료 비재학 ,전체,50,0,0,50,0,0,"용인소재, 발굴하고, 다각화, 기업을, 우수, 취업, 방향을","명지대학교, 확인하시어, 선발합니다, 제공합니다, 모집합니다, 구체적인, 선발기준, 발표내용, 주관하는, 선발하며"
2023 성공취업 프로젝트성공취업 JOB Manager,학부,"우리 대학교 졸업(예비)학생과 미취업 졸업자를 대상으로 취업전문가의 맞춤형 토탈케어 컨설팅, 취업률 향상."," 안녕하세요 
진로취업지원센터입니다 혼자하는 취업준비 힘드시죠
 예비 졸업생 기졸업생을 대상으로 취업스킬 전략 입사지원서류 모의면접등을 단계별로 학습지원 합니다
맞춤형 토탈케어 프로그램을 통해 성공취업을 이뤄낼수 있습니다 
앞으로 6개월의 긴 여정을 취업 전문가가 여러분과 밀착하여 함께 하겠습니다 
9월 11일월까지 신청을 받고 있으니 많은 관심과 참여 부탁드립니다 
  9월 11일월 1900시 webex로 OT 진행 예정
 문의 진로취업지원센터글로벌 0313304955
  ",진로취업프로그램상담컨설팅형,단과대학 ,재학 휴학 수료 비재학 졸업 ,4학년 5학년 6학년 ,25,25,50,0,0,0,"졸업자를, 졸업, 토탈케어, 대상으로, 컨설팅, 학생과, 대학교, 우리, 향상, 취업전문가의","모의면접등을, 여러분과, 안녕하세요, 기졸업생을, 졸업생, 밀착하여, 신청을, 입사지원서류, 여정을, 6개월의"
2023 하반기 졸업생 잡매칭Job Matching 프로그램,학부KFL학부,"우리 대학교 졸업 학생 중 미취업자를 대상으로 취업전문 멘토진의 밀착형 맞춤 컨설팅을 지원, 원하는 분야와 직무로 성공적인 취업을 할 수 있도록 지원하고자 함"," 안녕하세요 
진로취업지원센터입니다 
 2023 하반기 졸업생 잡매칭Job Matching 프로그램은 졸업생을 대상으로 
실제 입사지원 시 시기별 전형별서류 면접 등 맞춤 전문 컨설팅으로 진행됩니다 
9월 12일화까지 신청을 받고 있으니 많은 관심과 참여 부탁드립니다 
  9월 14일목 OT 진행 예정
 문의 진로취업지원센터서울 0221732499
   ",진로취업프로그램상담컨설팅형,단과대학 ,재학 휴학 수료 비재학 졸업 ,4학년 5학년 6학년 ,25,25,50,0,0,0,"밀착형, 성공적인, 지원하고자, 멘토진의, 컨설팅을, 대상으로, 학생, 졸업, 직무로, 지원","신청을, 졸업생을, 안녕하세요, 졸업생, 전형별, 컨설팅으로, 면접, 진행, 관심과, 잡매칭"
2023학년도 1학기 한국외국어대학교 학과부 진로취업 서포터즈,학부KFL학부,글로벌캠퍼스 학과(부) 진로취업 서포터즈,231학기 글로벌캠퍼스 학과부 진로취업 서포터즈,진로취업프로그램활동형,단과대학 ,전체,전체,50,0,50,0,0,0,"글로벌캠퍼스, 서포터즈, 학과, 진로취업","23, 서포터즈, 글로벌캠퍼스, 1학기, 진로취업, 학과"
릴레이취업특강2 비전공자의 반도체 기업 취업 준비심화반,학부KFL학부,"인문계 전공자의 반도체 기업 취업을 위한 정보, 팁 제공","릴레이취업특강 2회차 비전공자의 반도체 기업 취업 준비심화
 사회적 수요가 많은 산업 분야에 대한 정보를 습득하고 해당 분야 취업을 위한 나의 역할을 돌아보는 강의 입니다
난이도를 기초와 심화로 나누어 본인에게 필요한 강의를 기초와 심화 중에 선택하여 수강할 수 있도록 보완했습니다 
 1 날짜  9월 19일화 저녁 1900  2100
2 강의방법   Zoom으로 진행
3 내용  
 비전공자 반도체 직무의 종류
 인문계에서 일을 잘한다는 것
 경험기반 자기소개 및 면접 TIP 
  신청자 한해서 특강 전날이나 당일 오전에 접속 URL 발송해 드립니다
 신청자 중 접속링크를 특강 당일까지 못받은 학생은 07047053886으로 연락엘리트코리아 교육사업팀
 교육 기간 동안 참가가 확실한 학생만 신청하여 주시기 바랍니다 무단 불참 시 향후 타 프로그램 참가에 제한이 있을 수 있습니다
       ",진로취업프로그램강의형,단과대학 ,전체,전체,0,100,0,0,0,0,"전공자의, 정보, 제공, 기업, 반도체, 취업을, 인문계, 위한","비전공자의, 신청하여, 신청자, 기초와, 선택하여, 한해서, 발송해, 강의방법, 비전공자, 진행"
릴레이취업특강4 현직자와 함께하는 금융권 취업 준비 특강심화반,학부KFL학부,"금융권 취업 프로세스, 자기소개서 작성, 면접 유형, 필요역량 등 소개","릴레이취업특강 4회차 현직자와 함께하는 금융권 취업 특강심화반
 사회적 수요가 많은 산업 분야에 대한 정보를 습득하고 해당 분야 취업을 위한 나의 역할을 알아보는 강의 입니다
난이도를 기초와 심화로 나누어 본인에게 필요한 강의를 기초와 심화 중에 선택하여 수강할 수 있도록 보완했습니다 
 1 날짜  9월 21일목 저녁 1900  2100
2 강의방법   Zoom으로 진행
3 내용  
 금융권 채용 프로세스 소개
 자기소개서 작성법 면접 유형 소개
 취업 준비사항 정리  필요 자격증 경험 등
   신청자 한해서 특강 전날이나 당일 오전에 접속 URL 발송해 드립니다
 신청자 중 접속링크를 특강 당일까지 못받은 학생은 07047053886으로 연락엘리트코리아 교육사업팀
 교육 기간 동안 참가가 확실한 학생만 신청하여 주시기 바랍니다 무단 불참 시 향후 타 프로그램 참가에 제한이 있을 수 있습니다
       ",진로취업프로그램강의형,단과대학 ,전체,전체,0,100,0,0,0,0,"면접, 유형, 금융권, 자기소개서, 작성, 프로세스, 소개, 필요역량, 취업","현직자와, 신청하여, 신청자, 기초와, 강의, 선택하여, 강의방법, 자기소개서, 한해서, 발송해"
릴레이취업특강1 비전공자의 반도체 기업 취업 준비기초반,학부KFL학부,한국 반도체 산업에 대해 이해하고 취업을 위한 나의 역할을 알아보기,"릴레이취업특강 1회차 비전공자의 반도체 기업 취업 준비기초
 사회적 수요가 많은 산업 분야에 대한 정보를 습득하고 해당 분야 취업을 위한 나의 역할을 돌아보는 강의 입니다
난이도를 기초와 심화로 나누어 본인에게 필요한 강의를 기초와 심화 중에 선택하여 수강할 수 있도록 보완했습니다 
 1 날짜  9월 18일월 저녁 1900  2100
2 강의방법   Zoom으로 진행
3 내용  
 반도체 01의 정보이론과 전자산업
 한국 반도체 산업의 이해 제품 소재 부품 장비
 취업 준비를 위한 나를 돌아보기 
  신청자 한해서 특강 전날이나 당일 오전에 접속 URL 발송해 드립니다
 신청자 중 접속링크를 특강 당일까지 못받은 학생은 07047053886으로 연락엘리트코리아 교육사업팀
 교육 기간 동안 참가가 확실한 학생만 신청하여 주시기 바랍니다 무단 불참 시 향후 타 프로그램 참가에 제한이 있을 수 있습니다
       ",진로취업프로그램강의형,단과대학 ,전체,전체,0,100,0,0,0,0,"역할을, 이해하고, 산업에, 알아보기, 반도체, 한국, 대해, 나의, 취업을, 위한","비전공자의, 정보이론과, 신청하여, 신청자, 기초와, 산업의, 강의방법, 선택하여, 발송해, 한해서"
릴레이취업특강3 은행 및 제2금융권 서민금융기관 소개 주요 직무 분석기초반,학부KFL학부,"금융권 전반(주요은행, 제2금융권, 서민금융기관)에 대한 정보와 주요 직무를 소개","릴레이취업특강 3회차 금융권 전반주요은행 제2금융권 서민금융기관 에 대한 소개 및 주요 직무 안내기초반
 사회적 수요가 많은 산업 분야에 대한 정보를 습득하고 해당 분야 취업을 위한 나의 역할을 알아보는 강의 입니다
난이도를 기초와 심화로 나누어 본인에게 필요한 강의를 기초와 심화 중에 선택하여 수강할 수 있도록 보완했습니다 
 1 날짜  9월 20일수 저녁 1900  2100
2 강의방법   Zoom으로 진행
3 내용  
 은행 사업 및 주요 직무 분석
 증권 보험 저축은행 등 제2금융권 분석
 지역농협 새마을금고 등 서민금융기관 분석
 금융권 직무 QA
  신청자 한해서 특강 전날이나 당일 오전에 접속 URL 발송해 드립니다
 신청자 중 접속링크를 특강 당일까지 못받은 학생은 07047053886으로 연락엘리트코리아 교육사업팀
 교육 기간 동안 참가가 확실한 학생만 신청하여 주시기 바랍니다 무단 불참 시 향후 타 프로그램 참가에 제한이 있을 수 있습니다
       ",진로취업프로그램강의형,단과대학 ,전체,전체,0,100,0,0,0,0,"서민금융기관, 정보와, 주요은행, 제2금융권, 전반, 금융권, 직무를, 소개, 주요, 대한","서민금융기관, 저축은행, 신청하여, 주요은행, 신청자, 선택하여, 강의방법, 기초와, 은행, 진행"
