프로그램명,프로그램 분류,신청대상,프로그램 목표,프로그램 주요내용,학부,학적,학년,지식·정보·기술 활용역량,자기주도적 학습역량,창의·혁신역량,의사소통 역량,대인관계역량,세계시민역량,프로그램 목표_키워드,프로그램 주요내용_키워드
온라인특강 김대호 MBC 아나운서 토크콘서트 청년답게 나답게 산다,교육특강,학부학부,도전정신과 진로개발능력 함양,"  사전신청 바로가기 
httpsformsgleycV4WZuFENQjuXuM9
  ",전체,전체,전체,50,50,0,0,0,0,"도전정신과, 진로개발능력, 함양","ycv4wzufenqjuxum9, 사전신청, 바로가기, forms, gle, https"
서울캠퍼스 HUFS글로벌직무박람회 참가를 위한 셔틀버스 탑승자 조사,교육특강,학부학부,글로벌 직무역량강화 위한 취업 정보기회의 장(場) 마련,"10 27금 서울캠퍼스에서 개최되는 HUFS글로벌직무박람회 참가를 희망하시는 글로벌캠퍼스 재학생을 위하여 캠퍼스간 왕복 셔틀버스를 운행합니다
승차를 희망하시는 학생께서는 아래 링크로 신청하여 주시기 바랍니다 
httpsformsglef5Ky9Q21oUZprBgE9
 큐알코드
 셔틀버스 노선별 운행 시간 
1 글로벌캠퍼스 서울캠퍼스 노선 2회 운행  1 9시 백년관 앞 나무다리에서 탑승 2 12시 백년관 앞 나무다리에서 탑승
2 서울캠퍼스  글로벌캠퍼스 노선 1회 운행  15시 서울캠퍼스 본관 앞
  아래 직무박람회 안내문 참조
 50여개 국내 글로벌기업 외국계기업 국제기구 국내기업 해외영업 및 해외사업 부문 현직자 등이 참여하는 이번 2023HUFS글로벌직무박람회는
서울캠퍼스 오바마홀과 메타버스플랫폼LG 유플러스 유버스에서 동시에 개최됩니다
 참여자에게는 추첨을 통해 다양한 경품아이패드 10 애플워치 SE 에어팟 무선마우스 및 키보드 세트 스타벅스 쿠폰 등이 제공되며
유버스UVERSE 박람회장에서 인증샷 촬영시 유쓰Uth 플레이카에서 즐길 수 있는 코인노래방 및 네컷사진 쿠폰을 지급하는 등 다양한 이벤트도 준비되어 있으니
금번 행사에 많은 참여 바랍니다
  메타버스 플랫폼을 활용하여 현장의 박람회장을 그대로 구현하여 메타버스 공간에서도 기업 홍보관을 이용하거나 11 취업상담 신청이 가능합니다
 2023HUFS글로벌직무박람회 사전접수1019목부터 가능  한국외국어대학교 메타버스 플랫폼httpsmetauversecokrspacehufs
 ",전체,전체,전체,50,50,0,0,0,0,"마련, 글로벌, 정보기회의, 위한, 취업, 직무역량강화","서울캠퍼스에서, 서울캠퍼스, 글로벌캠퍼스, 신청하여, 플레이카에서, 신청이, 글로벌기업, 애플워치, 사전접수, 운행합니다"
외국계기업 취업역량강화 캠프,교육특강,학부KFL학부,외국계기업 취업역량강화,"  다른 대학교 학생들과 함께 하는 캠프입니다
소규모 정예 인원을 모집하여 집중적으로 교육하는 캠프로 참여일정 확인 하여 꼭 참여할 수있는 분들 신청바랍니다 
  ",단과대학 ,전체,전체,50,50,0,0,0,0,"취업역량강화, 외국계기업","신청바랍니다, 캠프입니다, 교육하는, 학생들과, 참여일정, 대학교, 참여할, 하는, 모집하여, 하여"
LG유플러스와 함께하는 2023 HUFS글로벌직무박람회 이벤트 및 행사정보 상시 업데이트중,교육특강,학부학부,글로벌 직무역량강화 위한 취업 정보기회의 장(場) 마련," 당일 온라인 메타버스 화상상담 병행참여 확정 기업직무 및 상담시간
   한국산업인력공단 해외취업관련상담  10001700 점심시간 제외
   주성엔지니어링 해외법인관리  14001500
   신성통상 인사  14001500
   농심데이타시스템 인사교육  14001500
   에이프로 인사  14001500
   마이크론 SALES  14001500
       50여개 국내 글로벌기업 외국계기업 국제기구 국내기업 해외영업 및 해외사업 부문 현직자 등이 참여하는 이번 2023HUFS글로벌직무박람회는
서울캠퍼스 오바마홀과 메타버스플랫폼LG 유플러스 유버스에서 동시에 개최됩니다
 참여자에게는 추첨을 통해 다양한 경품아이패드 10 애플워치 SE 에어팟 무선마우스 및 키보드 세트 스타벅스 쿠폰 등이 제공되며
유버스UVERSE 박람회장에서 인증샷 촬영시 유쓰Uth 플레이카에서 무료커피 지급 등 다양한 이벤트도 준비되어 있으니
금번 행사에 많은 참여 바랍니다
  메타버스 플랫폼을 활용하여 현장의 박람회장을 그대로 구현하여 메타버스 공간에서도 기업 홍보관을 이용하거나 11 취업상담 신청이 가능합니다
 2023HUFS글로벌직무박람회 사전접수1019목부터 가능  한국외국어대학교 메타버스 플랫폼httpsmetauversecokrspacehufs",전체,전체,전체,50,50,0,0,0,0,"마련, 글로벌, 정보기회의, 위한, 취업, 직무역량강화","한국산업인력공단, 주성엔지니어링, 현장의, 신성통상, 농심데이타시스템, 인사교육, 신청이, 공간에서도, 현직자, 홍보관을"
HUFS English Writing Tutoring 10월 4주차 1023 1027,교육특강,학부KFL학부대학원경영대학원통번역대학원교육대학원경영대학원정치행정언론대학원국제지역대학원경영대학원(주간)경영대학원(야간)법학전문대학원TESOL대학원KFL대학원,글로벌 사회와의 효과적인 소통을 위해 학습자들의 외국어 글쓰기 능력 향상,   ,단과대학 대학원 ,재학 휴학 수료 ,전체,0,50,0,50,0,0,"글쓰기, 효과적인, 소통을, 학습자들의, 능력, 글로벌, 향상, 위해, 외국어, 사회와의",
111수 오후 79시 기숙사생을 위한 집단상담 내 인생룸메가 되어줘,워크숍,학부KFL학부,룸메이트와 함께 MBTI 검사를 활용해 서로를 이해하는 시간을 통해 기숙사 생활의 적응을 돕도록 한다.," 요즘 중간고사 준비하느라 다들 많이 지치고 힘드시죠 
시험 끝나고 홀가분한 마음으로 룸메이트와 함께 참여할 수 있는 프로그램을 소개하려고 합니다
오후 7시부터 룸메이트와 함께 올 수 있는 집단상담이 진행될 예정이오니 많은 관심과 참여 부탁드립니다   
꼭 룸메이트가 아니더라도 자주 만나는 기숙사 친구와도 참여할 수 있어요 룸메이트 우선선발
룸메이트와 나 둘다 신청해야 해요 만족도 조사 이후 치킨은 팀별로 하나씩 지급
  ",단과대학 ,재학 휴학 수료 ,전체,0,25,0,25,50,0,"mbti, 시간을, 생활의, 적응을, 룸메이트와, 이해하는, 활용해, 기숙사, 통해, 한다","친구와도, 홀가분한, 관심과, 부탁드립니다, 중간고사, 우선선발, 힘드시죠, 집단상담이, 준비하느라, 만족도"
직무 부트캠프GMP 전체를 보는 눈과 핵심 개념으로 제약공장 품질QAQC업무알기,워크숍,학부KFL학부,"직무 수행 기회 제공, 직무 역량 강화","현직자의 11 멘토링을 받으며 현업 직무를 모의 수행하는 직무 부트캠프를 실시합니다
 비대면 ZOOM으로 진행 됩니다
 아래 포스터의 QR코드 이용하여 지원서 제출
 선발인원 8명지원자의 직무이해도 지원서 작성충실도로 심사 후 선발하며 선착순 마감 아닙니다
 중도 포기 시 HUFSAbility 비교과 프로그램 이용 제한 3개월
 1 대상  양 캠퍼스 재학생 졸업생 지역청년
2 커리큘럼  httpscomentokredulearncampdetailG783
  1주차 현직자 직무 에센스 강의 및 QA  과제시약의 유효기간 산정
  2주차 1주차 과제 피드백  과제공정 이상 원인 분석 및 문제 해결
  3주차 2주차 과제 피드백  과제Data integrity 관리
  4주차 3주차 과제 피드백  과제GMP 법규 의약품 제조 및 품질관리에 관한 규정 교육 후 평가를 위하여 시험 문제를 출제하십시오
  5주차 과제발표  4주차 과제 피드백   
 3 운영기간  
  가 신청기간  1029일까지 아래 포스터에 QR 코드 이용하여 신청
  나 선발자 통지  111수지원서 작성 충실도 직무 이해도에 따라 심사 후 선발됩니다
  다 OT  113금
  라 프로그램 참가  116월  1210수까지
 4 문의  진로취업지원센터글로벌 0313304042 head312hufsackr
  ",단과대학 ,전체,전체,25,25,25,0,25,0,"강화, 수행, 제공, 직무, 역량, 기회","현직자의, 작성충실도로, 직무이해도, 신청기간, 지역청년, 출제하십시오, 품질관리에, 신청, 졸업생, 운영기간"
직무 부트캠프이것이 찐현실 콘텐츠 마케팅 실무 5주 완성 병아리 콘텐츠 마케터 캠프,워크숍,학부KFL학부,"직무 수행 기회 제공, 직무 역량 강화","현직자의 11 멘토링을 받으며 현업 직무를 모의 수행하는 직무 부트캠프를 실시합니다
 비대면 ZOOM으로 진행 됩니다
 아래 포스터의 QR코드 이용하여 지원서 제출
 선발인원 8명지원자의 직무이해도 지원서 작성충실도로 심사 후 선발하며 선착순 마감 아닙니다
 중도 포기 시 HUFSAbility 비교과 프로그램 이용 제한 3개월
 1 대상  양 캠퍼스 재학생 졸업생 지역청년
2 커리큘럼  httpscomentokredulearncampdetailG1333
  1주차 현직자 직무 에센스 강의 및 QA  과제커뮤니케이션 전략 수립을 위한 브랜드 내외부 분석
  2주차 1주차 과제 피드백  과제브랜드 커뮤니케이션 전략 수립
  3주차 2주차 과제 피드백  과제브랜드 인지도 증대 캠페인 IMC 전략 수립 
  4주차 3주차 과제 피드백  과제전환 유도 프로모션 기획 및 IMC 전략 수립
  5주차 과제발표  4주차 과제 피드백   
 3 운영기간  
  가 신청기간  1029일까지 아래 포스터에 QR 코드 이용하여 신청
  나 선발자 통지  111수지원서 작성 충실도 직무 이해도에 따라 심사 후 선발됩니다
  다 OT  113금
  라 프로그램 참가  116월  1210수까지
 4 문의  진로취업지원센터글로벌 0313304042 head312hufsackr
  ",단과대학 ,전체,전체,25,25,25,0,25,0,"강화, 수행, 제공, 직무, 역량, 기회","현직자의, 작성충실도로, 직무이해도, 신청기간, 지역청년, 신청, 졸업생, 운영기간, 재학생, 커뮤니케이션"
직무 부트캠프GMP환경 학교에선 알려주지 않는 환경 실무 이해하기,워크숍,학부KFL학부,"직무 수행 기회 제공, 직무 역량 강화","현직자의 11 멘토링을 받으며 현업 직무를 모의 수행하는 직무 부트캠프를 실시합니다
 비대면 ZOOM으로 진행 됩니다
 아래 포스터의 QR코드 이용하여 지원서 제출
 선발인원 8명지원자의 직무이해도 지원서 작성충실도로 심사 후 선발하며 선착순 마감 아닙니다
 중도 포기 시 HUFSAbility 비교과 프로그램 이용 제한 3개월
 1 대상  양 캠퍼스 재학생 졸업생 지역청년
2 커리큘럼  httpscomentokredulearncampdetailG272
  1주차 현직자 직무 에센스 강의 및 QA  과제사업장 대기 방지시설 공법 학습 및 도입 보고
  2주차 1주차 과제 피드백  과제신규 법규에 대한 개념 정리1
  3주차 2주차 과제 피드백  과제신규 법에 대한 개념 정리2
  4주차 3주차 과제 피드백  과제환경 부분 교육 자료 작성
  5주차 과제발표  4주차 과제 피드백   
 3 운영기간  
  가 신청기간  1029일까지 아래 포스터에 QR 코드 이용하여 신청
  나 선발자 통지  111수지원서 작성 충실도 직무 이해도에 따라 심사 후 선발됩니다
  다 OT  113금
  라 프로그램 참가  116월  1210수까지
 4 문의  진로취업지원센터글로벌 0313304042 head312hufsackr
  ",단과대학 ,전체,전체,25,25,25,0,25,0,"강화, 수행, 제공, 직무, 역량, 기회","현직자의, 작성충실도로, 직무이해도, 신청기간, 지역청년, 신청, 졸업생, 운영기간, 재학생, 방지시설"
직무 부트캠프무역 프로세스 완벽 이해하기  서류 작성부터 클레임 대처까지,워크숍,학부KFL학부,"직무 수행 기회 제공, 직무 역량 강화","현직자의 11 멘토링을 받으며 현업 직무를 모의 수행하는 직무 부트캠프를 실시합니다
 비대면 ZOOM으로 진행 됩니다
 아래 포스터의 QR코드 이용하여 지원서 제출
 선발인원 8명지원자의 직무이해도 지원서 작성충실도로 심사 후 선발하며 선착순 마감 아닙니다
 중도 포기 시 HUFSAbility 비교과 프로그램 이용 제한 3개월
 1 대상  양 캠퍼스 재학생 졸업생 지역청년
2 커리큘럼  httpscomentokredulearncampdetailG1003
  1주차 현직자 직무 에센스 강의 및 QA  과제포워딩 직무의 첫 시작  선적지에서의 수출 업무 준비
  2주차 1주차 과제 피드백  과제도착지 파트너와의 견적 작성
  3주차 2주차 과제 피드백  과제화물 출고 관리  선박 출항 완료 후 모니터링 
  4주차 3주차 과제 피드백  과제도착지에서의 작업돌발상황 대처
  5주차 과제발표  4주차 과제 피드백   
 3 운영기간  
  가 신청기간  1029일까지 아래 포스터에 QR 코드 이용하여 신청
  나 선발자 통지  111수지원서 작성 충실도 직무 이해도에 따라 심사 후 선발됩니다
  다 OT  113금
  라 프로그램 참가  116월  1210수까지
 4 문의  진로취업지원센터글로벌 0313304042 head312hufsackr
  ",단과대학 ,전체,전체,25,25,25,0,25,0,"강화, 수행, 제공, 직무, 역량, 기회","선적지에서의, 도착지에서의, 현직자의, 작성충실도로, 돌발상황, 직무이해도, 신청기간, 지역청년, 직무의, 신청"
직무 부트캠프10년차 현직 PD와 함께 방송 영상 콘텐츠 기획제작연출 이해하기,워크숍,학부KFL학부,"직무 수행 기회 제공, 직무 역량 강화","현직자의 11 멘토링을 받으며 현업 직무를 모의 수행하는 직무 부트캠프를 실시합니다
 비대면 ZOOM으로 진행 됩니다
 아래 포스터의 QR코드 이용하여 지원서 제출
 선발인원 8명지원자의 직무이해도 지원서 작성충실도로 심사 후 선발하며 선착순 마감 아닙니다
 중도 포기 시 HUFSAbility 비교과 프로그램 이용 제한 3개월
 1 대상  양 캠퍼스 재학생 졸업생 지역청년
2 커리큘럼  httpscomentokredulearncampdetailG848
  1주차 현직자 직무 에센스 강의 및 QA  과제신선한 출연자가 등장하는 기존 프로그램 A의 후속작 기획
  2주차 1주차 과제 피드백  과제기획 및 구성안 Draft 작성 및 보고
  3주차 2주차 과제 피드백  과제프로그램 세부 코너 기획안 및 큐시트 작성 및 보고 
  4주차 3주차 과제 피드백  과제촬영 당일을 위한 카메라 배치안 및 타임테이블 작성 및 보고
  5주차 과제발표  4주차 과제 피드백   
 3 운영기간  
  가 신청기간  1029일까지 아래 포스터에 QR 코드 이용하여 신청
  나 선발자 통지  111수지원서 작성 충실도 직무 이해도에 따라 심사 후 선발됩니다
  다 OT  113금
  라 프로그램 참가  116월  1210수까지
 4 문의  진로취업지원센터글로벌 0313304042 head312hufsackr
  ",단과대학 ,전체,전체,25,25,25,0,25,0,"강화, 수행, 제공, 직무, 역량, 기회","현직자의, 작성충실도로, 직무이해도, 신청기간, 지역청년, 신청, 졸업생, 운영기간, 재학생, 이용하여"
20232 중국 유학생 학업 및 진로 특강  20232 国际学生 特别学术和职业讲座,교육특강,학부KFL학부대학원한국어문화교육원경영대학원정치행정언론대학원통번역대학원교육대학원국제지역대학원경영대학원(주간)경영대학원(야간)법학전문대학원TESOL대학원KFL대학원,유학생의 대학생활 적응 향상 (진로발달 및 학업동기 향상),"안녕하세요 한국외국어대학교 학생상담센터입니다
학생상담센터에서는 유학생들을 위한 프로그램을 실시할 예정입니다
유학생 분들의 많은 관심과 참여 부탁드립니다 감사합니다
 你好韩国外国语大学学生咨询中心
学生咨询中心计划为国际学生实施项目
我们要求国际学生的大量兴趣和参与谢谢
 20232 중국 유학생 학업 및 진로 특강  20232 国际学生 特别学术和职业讲座
1 대상  한국외대 유학생중국어 가능자  韩国外国语大学学生中文流利
2 일시  2023년 11월 1일수 오후 5시7시 20231101 星期三 下午 57
3 장소  교수학습지원센터 202호대면  教授学习开发院 202号面对面
4 신청방법 아래 링크접속 또는 첨부된 홍보 포스터 QR을 통해 신청
 通过以下链接或随附的宣传海报二维码申请
httpsformsglePfuq4cMZoYLxuiF59
5 문의 sccshufsackr  0221732562",전체,전체,전체,25,50,25,0,0,0,"유학생의, 학업동기, 대학생활, 적응, 진로발달, 향상","학생상담센터입니다, 학생상담센터에서는, 안녕하세요, 学生咨询中心计划为国际学生实施项目, 韩国外国语大学学生咨询中心, 중국어, 중국, 유학생, 관심과, 교수학습지원센터"
